011;s1-s4-s5-s6
012;s1-s2
111;s54
112;s54-s55
121;s5-s6-s8
122;s5-s8-s58
141;s59-s60-s61
142;s59-s61-s62
161;s42-s63-s64
162;s39-s41-s42-s64
171;s40-s63
172;s39-s40-s41
181;s47
182;s44-s45-s46
191;s65-s39-s66
192;s35-s36-s37-s65
201;s34-s35-s36
202;s34-s35-s68
021;s7-s86-s77-s21-s73-s31-s33
022;s9-s10-s84-s27-s31-s32
211;s13-s14-s69
212;s13-s69-s70
221;s14-s69
222;s69-s70
261;s71
271;s23-s26-s72-s10-s84-s9-s27
272;s23-s24-s25-s21-s73-s7-s86
031;s28-s29-s72-s27-s9-s10-s84
311;s12-s69-s14
312;s12-s69-s70
032;s28-s30-s25-s21-s73-s7-s86
332;s56-s54
331;s56-s54-s55
361;s48-s49
362;s50-s52-s51
371;s52-s51
372;s52-s53-s49
381;s43-s44-s45
041;s22-s75-s7-s86-s77-s73-s67-s81
411;s17-s78-s57
412;s17-s78-s74
042;s75-s19-s16-s17-s78-s76
421;s77-s17-s79-s57
422;s77-s17-s79-s74
051;s7-s86-s77-s18-s20-s67-s81-s73
052;s18-s19-s16-s78-s17
061;s15-s80-s67-s73-s77-s7-s86
062;s15-s16-s78-s17
071;s82-s15-s80-s67-s73-s77-s7-s86
072;s82-s15-s16-s78-s17
081;s9-s10-s84-s83-s6
082;s9-s10-s85-s7
091;s69-s14
092;s69-s14-s74-s57
